Instance;AverageNonBinVar
didactic3;16.071428571428573
didactic5;16.071428571428573
sppaa01;0.14225816112608564
sppaa02;0.5921080757556325
sppaa03;0.3773682109140553
sppaa05;0.2835285935911839
sppnw01;0.05507455507455508
sppnw02;0.02617235061846402
sppnw03;0.003428649797709662
sppnw04;0.00355628713462325
sppnw05;0.009358525096444801
sppnw06;0.008201292523701735
sppnw07;0.019334880123743233
sppnw08;1.4112903225806452
sppnw09;0.2363304329143839
sppnw10;1.0785463071512311
sppnw11;0.11224489795918367
sppnw12;1.6373801916932904
sppnw13;0.062332481456086775
sppnw14;0.009480669967344358
sppnw15;0.7922912205567453
sppnw16;0.07961444183548291
sppnw17;0.002060961363532038
sppnw18;0.20544761550618196
sppnw19;0.03859364748562387
sppnw20;0.016220600162206
sppnw21;0.19256691700365877
sppnw22;0.14135702746365103
sppnw23;0.5485232067510548
sppnw24;0.12201073694485115
sppnw25;0.00912991874372318
sppnw26;0.1152903876639285
sppnw27;0.09840098400984008
sppnw28;0.04591368227731864
sppnw29;0.0
sppnw30;0.018846588767433094
sppnw31;0.016695884464479505
sppnw32;1.1715797430083144
sppnw33;0.007243227582210633
sppnw34;0.024718823384006924
sppnw35;0.11702750146284381
sppnw36;0.011217049915872124
sppnw37;0.06493506493506493
sppnw38;0.15573770491803282
sppnw39;0.11488593467914002
sppnw40;0.04950495049504951
sppnw41;0.5076142131979696
sppnw42;0.061785603954278664
sppnw43;0.1305970149253731
