Instances,Times,Quality,Nb_results
biosppnw01.txt,416.39260601997375,84.42126514268043,5
biosppnw03.txt,249.07704424858093,87.30244893769236,5
biosppnw04.txt,-1.0,0.0,0
biosppnw06.txt,23.87429118156433,92.55774498553055,5
biosppnw07.txt,22.624929428100586,86.68950743125981,4
biosppnw08.txt,0.4515230655670166,88.54970771634336,3
biosppnw09.txt,8.22477912902832,85.52462942624743,5
biosppnw10.txt,0.6468827724456787,86.27387378488768,2
biosppnw11.txt,11.83801531791687,95.09089275476931,3
biosppnw12.txt,0.20754194259643555,90.62491176864414,5
biosppnw13.txt,42.495518922805786,89.25879339993074,5
biosppnw14.txt,622.6307511329651,73.35410571416398,4
biosppnw15.txt,0.31947898864746094,100.0,2
biosppnw16.txt,-1.0,0.0,0
biosppnw17.txt,599.0701003074646,51.513612927831396,3
biosppnw18.txt,46.63671588897705,84.56223633224849,2
biosppnw19.txt,3.7794177532196045,91.7245835928309,4
biosppnw20.txt,1.18153977394104,92.6849133254324,3
biosppnw21.txt,0.8207626342773438,95.45494545428294,4
biosppnw22.txt,1.3374545574188232,93.48584125180797,5
biosppnw23.txt,0.4698047637939453,91.43357601033692,2
biosppnw24.txt,2.6660776138305664,96.12712021273231,4
biosppnw25.txt,2.265622138977051,91.11761887306636,5
biosppnw26.txt,0.8937296867370605,93.40629176199288,4
biosppnw27.txt,1.6581149101257324,91.153781085402,2
biosppnw28.txt,1.9430932998657227,92.40008695510525,3
biosppnw29.txt,6.527099370956421,88.2089054905411,4
biosppnw30.txt,6.254041910171509,97.05579571766934,4
biosppnw31.txt,13.17578911781311,92.66454023932779,5
biosppnw32.txt,0.12001180648803711,96.99405934029014,3
biosppnw33.txt,14.603426456451416,94.61651241015208,4
biosppnw34.txt,2.142906665802002,92.28729456483406,4
biosppnw35.txt,4.992282152175903,93.43171362829203,4
biosppnw36.txt,5.124829053878784,91.58806569993507,3
biosppnw37.txt,1.643653392791748,94.88180170081012,4
biosppnw38.txt,2.6853339672088623,92.42689119837068,4
biosppnw39.txt,1.6177616119384766,98.15807612012225,5
biosppnw40.txt,0.42613697052001953,86.43716387825694,4
biosppnw41.txt,0.12494421005249023,86.77164340703992,5
biosppnw42.txt,1.8951046466827393,97.6922939949135,3
biosppnw43.txt,6.022891044616699,93.30963078738584,4
