Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached;Avg_Ratio_Non_Bin_Var;Supported_Sol
biosppnw01.txt;72.4464250723594;0;0;421;7;818.763332889;6;0;0;0.0013059163059163058;0.007125890736342043
biosppnw03.txt;72.57233382751302;0;0;47;7;784.907896945;7;2;0;0.0008365905506411574;0.02127659574468085
biosppnw04.txt;33.45318096980382;0;0;26;3;869.160544729;4;5;0;0.0002667215350967437;0.0
biosppnw06.txt;87.72626750193734;0;0;20;4;31.678405021;5;0;0;0.0035593609552865527;0.2
biosppnw07.txt;85.26933284432681;0;0;20;5;11.923571937;7;0;0;0.003093580819798917;0.15
biosppnw08.txt;93.75584210455084;0;0;20;5;0.146947773;2;0;0;0.019873271889400922;0.25
biosppnw09.txt;85.04994267022539;0;0;22;6;4.963153524;5;0;0;0.005550184409352956;0.18181818181818182
biosppnw10.txt;95.88608561438338;0;0;13;5;0.357445139;4;0;0;0.007502930832356388;0.38461538461538464
biosppnw11.txt;93.67927454167557;0;0;28;5;7.479055854;5;0;0;0.0017120181405895693;0.17857142857142858
biosppnw12.txt;81.81807836223045;0;0;43;5;0.186512611;6;0;0;0.009384984025559104;0.09302325581395349
biosppnw13.txt;85.05585820567411;0;0;125;4;25.818777485;8;0;0;0.0014405729047628942;0.0
biosppnw14.txt;78.82330607010132;0;0;103;7;1613.45750798;6;3;0;0.0002909026083997115;0.009708737864077669
biosppnw15.txt;100.0;0;0;2;3;0.319283627;6;0;0;0.017130620985010704;1.0
biosppnw16.txt;1.1281603950428456;0;0;7;2;232.198941782;1;0;0;8.970641333575542e-5;0.2857142857142857
biosppnw17.txt;86.69157484638124;0;0;58;5;1235.369080716;4;1;0;0.00033256422002448803;0.06896551724137931
biosppnw18.txt;99.33679418139356;0;0;23;7;25.973303058;3;0;0;0.004852654085711631;0.30434782608695654
biosppnw19.txt;89.01026220461007;0;0;20;6;5.09922943;5;0;0;0.005094361468102351;0.25
biosppnw20.txt;92.8869103240998;0;0;9;4;1.286536254;6;0;0;0.024655312246553124;0.3333333333333333
biosppnw21.txt;96.61533847809933;0;0;10;6;0.536583859;3;0;0;0.021182360870402463;0.6
biosppnw22.txt;71.19592205113338;0;0;19;4;0.92274791;5;0;0;0.02059773828756058;0.15789473684210525
biosppnw23.txt;91.43357601033692;0;0;6;3;0.550196237;9;0;0;0.014205344585091423;0.3333333333333333
biosppnw24.txt;85.03138617503603;0;0;21;5;3.228665813;7;0;0;0.008459411094843014;0.09523809523809523
biosppnw25.txt;84.10956817127826;0;0;17;5;1.952046548;6;0;0;0.01068200493015612;0.17647058823529413
biosppnw26.txt;69.66089636387426;0;0;19;4;1.179424135;8;0;0;0.016140654272949993;0.05263157894736842
biosppnw27.txt;91.34929402062743;0;0;12;4;0.882536317;5;0;0;0.007872078720787207;0.3333333333333333
biosppnw28.txt;92.40311215502055;0;0;6;3;1.139220388;7;0;0;0.006611570247933884;0.5
biosppnw29.txt;37.695708479764676;0;0;12;2;3.000520189;6;0;0;0.006003937007874016;0.16666666666666666
biosppnw30.txt;95.92584095608561;0;0;8;4;3.324110292;4;0;0;0.00499434602336977;0.375
biosppnw31.txt;81.29474628191615;0;0;16;5;5.639489232;7;0;0;0.005843559562567827;0.3125
biosppnw32.txt;96.99405934029014;0;0;8;4;0.185663397;5;0;0;0.023431594860166285;0.375
biosppnw33.txt;94.18949098503393;0;0;10;4;12.341795576;7;0;0;0.004382152687237433;0.4
biosppnw34.txt;73.85536988123977;0;0;14;4;1.810282731;8;0;0;0.014089729328883947;0.21428571428571427
biosppnw35.txt;92.80612164762472;0;0;14;5;1.838293639;4;0;0;0.006826604251999219;0.35714285714285715
biosppnw36.txt;86.13599217705293;0;0;10;2;4.215612211;9;0;0;0.007683679192372406;0.2
biosppnw37.txt;79.48552581566017;0;0;10;4;0.851649985;6;0;0;0.016396103896103898;0.3
biosppnw38.txt;66.3362334961277;0;0;8;4;2.864103728;9;0;0;0.007950819672131147;0.375
biosppnw39.txt;86.90675290214;0;0;12;6;0.730168744;5;0;0;0.015099294272115545;0.4166666666666667
biosppnw40.txt;93.41082652642406;0;0;10;3;0.549683635;8;0;0;0.026732673267326736;0.2
biosppnw41.txt;93.12927726145115;0;0;11;6;0.1325225;2;0;0;0.04505076142131979;0.45454545454545453
biosppnw42.txt;93.77763670123473;0;0;10;4;1.588060375;7;0;0;0.010606528678817834;0.3
biosppnw43.txt;87.88562762333558;0;0;21;5;3.114138033;9;0;0;0.012966417910447761;0.14285714285714285
