Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached;Avg_Ratio_Non_Bin_Var;Supported_Sol
biosppnw01.txt;73.51095562647838;0;0;421;6;437.670459402;6;1;0;0.0013059163059163058;0.004750593824228029
biosppnw03.txt;77.32189031462896;0;0;47;8;329.770248234;7;2;0;0.0008365905506411574;0.02127659574468085
biosppnw04.txt;29.08940186595652;0;0;26;3;595.80012372;6;3;0;0.0002667215350967437;0.0
biosppnw06.txt;72.85300580712993;0;0;20;5;25.246387874;7;0;0;0.0035593609552865527;0.15
biosppnw07.txt;83.59185308694025;0;0;20;6;9.482379292;8;0;0;0.003093580819798917;0.25
biosppnw08.txt;81.76163434147009;0;0;20;4;0.128154203;3;0;0;0.019873271889400922;0.2
biosppnw09.txt;79.66047313346978;0;0;22;4;3.864806966;7;0;0;0.005550184409352956;0.09090909090909091
biosppnw10.txt;99.26953282719174;0;0;13;7;0.261511786;5;0;0;0.007502930832356388;0.5384615384615384
biosppnw11.txt;93.67927454167557;0;0;28;5;6.661100255;6;0;0;0.0017120181405895693;0.17857142857142858
biosppnw12.txt;81.81807836223045;0;0;43;5;0.174026119;6;0;0;0.009384984025559104;0.09302325581395349
biosppnw13.txt;85.05585820567411;0;0;125;4;24.689345369;8;0;0;0.0014405729047628942;0.0
biosppnw14.txt;79.63977331888972;0;0;103;8;1311.119547719;7;2;0;0.0002909026083997115;0.009708737864077669
biosppnw15.txt;100.0;0;0;2;3;0.318891683;8;0;0;0.017130620985010704;1.0
biosppnw16.txt;1.1281603950428456;0;0;7;2;155.700010376;2;0;0;8.970641333575542e-5;0.2857142857142857
biosppnw17.txt;81.08250867292871;0;0;58;5;1465.903713652;7;1;0;0.00033256422002448803;0.05172413793103448
biosppnw18.txt;98.72576934313803;1;1;23;5;27.1244655;5;0;0;0.004852654085711631;0.21739130434782608
biosppnw19.txt;85.59285118001618;0;0;20;6;3.833673753;7;0;0;0.005094361468102351;0.2
biosppnw20.txt;76.19461060042583;0;0;9;5;0.955668009;7;0;0;0.024655312246553124;0.2222222222222222
biosppnw21.txt;96.14506586674928;0;0;10;4;0.343007613;6;0;0;0.021182360870402463;0.4
biosppnw22.txt;76.9638098205963;0;0;19;4;0.476631867;6;0;0;0.02059773828756058;0.21052631578947367
biosppnw23.txt;91.43357601033692;0;0;6;2;0.386647315;9;0;0;0.014205344585091423;0.3333333333333333
biosppnw24.txt;84.50954085042788;0;0;21;5;1.870646775;8;0;0;0.008459411094843014;0.14285714285714285
biosppnw25.txt;84.10956817127826;0;0;17;5;0.954374321;7;0;0;0.01068200493015612;0.17647058823529413
biosppnw26.txt;64.44885393688563;0;0;19;5;0.674663512;8;0;0;0.016140654272949993;0.10526315789473684
biosppnw27.txt;91.15524713920544;0;0;12;3;0.721096653;5;0;0;0.007872078720787207;0.25
biosppnw28.txt;92.40311215502055;0;0;6;3;0.770226458;8;0;0;0.006611570247933884;0.5
biosppnw29.txt;77.15537096247164;0;0;12;4;2.705119396;6;0;0;0.006003937007874016;0.16666666666666666
biosppnw30.txt;93.64826741523095;0;0;8;4;2.794733162;4;0;0;0.00499434602336977;0.375
biosppnw31.txt;87.08893710104988;0;0;16;5;2.874936081;7;0;0;0.005843559562567827;0.3125
biosppnw32.txt;96.99405934029014;0;0;8;3;0.171577209;5;0;0;0.023431594860166285;0.375
biosppnw33.txt;92.37932690026452;0;0;10;3;6.733410715;7;0;0;0.004382152687237433;0.3
biosppnw34.txt;72.99905036085394;0;0;14;6;0.88988291;9;0;0;0.014089729328883947;0.14285714285714285
biosppnw35.txt;87.68633625825315;0;0;14;5;1.215795693;6;0;0;0.006826604251999219;0.2857142857142857
biosppnw36.txt;86.13599217705293;0;0;10;2;4.230635857;10;0;0;0.007683679192372406;0.2
biosppnw37.txt;79.48552581566017;0;0;10;4;0.59932122;6;0;0;0.016396103896103898;0.3
biosppnw38.txt;70.41769795948984;0;0;8;5;2.399106772;9;0;0;0.007950819672131147;0.375
biosppnw39.txt;61.0932636635715;0;0;12;3;0.687086399;9;0;0;0.015099294272115545;0.0
biosppnw40.txt;93.68532398656399;0;0;10;3;0.388503889;9;0;0;0.026732673267326736;0.2
biosppnw41.txt;83.75076835446491;0;0;11;5;0.092399569;3;0;0;0.04505076142131979;0.36363636363636365
biosppnw42.txt;93.76819145463249;0;0;10;2;1.429991502;9;0;0;0.010606528678817834;0.1
biosppnw43.txt;88.4930808844113;0;0;21;5;1.812657163;9;0;0;0.012966417910447761;0.09523809523809523
