Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached
biosppnw01.txt;71.38789311207495;0;0;421;5;574.215908386;3;2;0
biosppnw03.txt;78.14258458212508;0;0;47;6;518.929850326;8;0;0
biosppnw04.txt;0.0;0;0;26;1;868.626794369;2;7;0
biosppnw06.txt;93.61639719804053;0;0;20;5;23.595632719;4;0;0
biosppnw07.txt;92.3459546502851;0;0;20;5;9.657887173;7;0;0
biosppnw08.txt;94.31689899287737;0;0;20;6;0.150595669;1;0;0
biosppnw09.txt;84.64834691695916;0;0;22;5;5.374126926;5;0;0
biosppnw10.txt;95.88608561438338;0;0;13;5;0.255586621;4;0;0
biosppnw11.txt;94.67732085850702;0;0;28;5;7.464568781;4;0;0
biosppnw12.txt;61.49022303004493;0;0;43;6;0.18637946;6;0;0
biosppnw13.txt;74.9926965500435;0;0;125;6;37.196102121;7;0;0
biosppnw14.txt;61.55370919598009;0;0;103;5;1158.336831074;5;4;0
biosppnw15.txt;100.0;0;0;2;3;0.29681964;8;0;0
biosppnw16.txt;1.1281603950428456;0;0;7;2;223.903814087;1;0;0
biosppnw17.txt;88.76803399587332;0;0;58;5;1155.024863729;1;2;0
biosppnw18.txt;99.33679418139356;0;0;23;7;30.645043026;1;0;1
biosppnw19.txt;89.01026220461007;0;0;20;6;6.574342392;5;0;0
biosppnw20.txt;92.19115686855085;0;0;9;4;1.219520067;4;0;0
biosppnw21.txt;97.11818652908333;0;0;10;7;0.703235223;1;0;0
biosppnw22.txt;70.97630693259853;0;0;19;3;1.157444372;5;0;0
biosppnw23.txt;91.43357601033692;0;0;6;2;0.573650582;8;0;0
biosppnw24.txt;95.19726846205386;0;0;21;4;2.053639578;5;0;0
biosppnw25.txt;84.37779781335276;0;0;17;5;1.472014479;5;0;0
biosppnw26.txt;64.12559461544592;0;0;19;4;1.546516082;5;0;2
biosppnw27.txt;91.34929402062743;0;0;12;4;1.222914747;4;0;0
biosppnw28.txt;92.40311215502055;0;0;6;3;2.08359877;6;0;1
biosppnw29.txt;51.828768880775634;0;0;12;3;6.820836776;4;0;1
biosppnw30.txt;93.64826741523095;0;0;8;4;3.076020524;4;0;0
biosppnw31.txt;72.35978666734762;0;0;16;6;6.546741198;5;0;0
biosppnw32.txt;96.99405934029014;0;0;8;4;0.255376709;5;0;0
biosppnw33.txt;89.89001319950422;0;0;10;5;9.05953621;6;0;0
biosppnw34.txt;84.77664981817216;0;0;14;5;1.679853411;6;0;0
biosppnw35.txt;92.80612164762472;0;0;14;5;2.935229115;3;0;1
biosppnw36.txt;86.13599217705293;0;0;10;2;5.946075157;7;0;2
biosppnw37.txt;79.48552581566017;0;0;10;4;1.399930686;5;0;0
biosppnw38.txt;32.09365171052524;0;0;8;2;5.513609992;3;0;6
biosppnw39.txt;86.09759839338867;0;0;12;5;0.832155944;4;0;0
biosppnw40.txt;97.62337937563369;0;0;10;4;0.475865328;8;0;0
biosppnw41.txt;93.12927726145115;0;0;11;6;0.129314221;2;0;0
biosppnw42.txt;93.77763670123473;0;0;10;4;1.830010635;6;0;0
biosppnw43.txt;92.46260190499707;0;0;21;5;3.275079348;7;0;1
