Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached
biosppnw01.txt;52.59035426848576;0;0;421;4;316.864057512;4;0;3
biosppnw03.txt;77.70227492828774;0;0;47;4;227.04450559;3;0;6
biosppnw04.txt;0.0;0;0;26;1;279.956791879;1;1;7
biosppnw06.txt;72.65861574201523;0;0;20;4;17.662859411;4;0;3
biosppnw07.txt;61.038188735312495;0;0;20;2;8.5641494;1;0;7
biosppnw08.txt;82.61294619296655;0;0;20;5;0.127202954;3;0;0
biosppnw09.txt;79.66047313346978;0;0;22;3;3.599112407;3;0;4
biosppnw10.txt;97.80435610727605;0;0;13;7;0.225237501;4;0;0
biosppnw11.txt;93.67927454167557;0;0;28;5;5.410565207;6;0;0
biosppnw12.txt;61.49022303004493;0;0;43;6;0.352483905;4;0;2
biosppnw13.txt;38.88633943884499;0;0;125;3;27.518339954;2;0;6
biosppnw14.txt;70.5630326500985;0;0;103;8;702.333974685;6;3;0
biosppnw15.txt;100.0;0;0;2;3;0.303172397;7;0;1
biosppnw16.txt;1.1281603950428456;0;0;7;2;168.555180289;2;0;0
biosppnw17.txt;68.6763450692837;0;0;58;3;667.321226352;3;5;0
biosppnw18.txt;98.72576934313803;0;0;23;5;26.686325615;1;0;4
biosppnw19.txt;79.9677798214664;0;0;20;4;2.61945871;5;0;2
biosppnw20.txt;42.47962879136764;0;0;9;3;0.989891964;4;0;3
biosppnw21.txt;92.95361577605004;0;0;10;5;0.300447757;7;0;0
biosppnw22.txt;76.9638098205963;0;0;19;4;0.588997383;4;0;2
biosppnw23.txt;91.43357601033692;0;0;6;3;0.438592605;7;0;2
biosppnw24.txt;61.13744785725233;0;0;21;2;1.794320347;3;0;5
biosppnw25.txt;83.46466854236002;0;0;17;4;1.290828214;4;0;3
biosppnw26.txt;0.0;0;0;19;1;1.235081321;0;0;8
biosppnw27.txt;91.15524713920544;0;0;12;3;0.881647178;5;0;1
biosppnw28.txt;92.3996506281944;0;0;6;2;1.322776428;4;0;4
biosppnw29.txt;29.096389739385604;0;0;12;4;2.240689038;4;0;2
biosppnw30.txt;93.4048581554521;0;0;8;3;2.559249088;1;0;3
biosppnw31.txt;88.20359897771104;0;0;16;5;2.957178913;5;0;2
biosppnw32.txt;96.99405934029014;0;0;8;3;0.194913995;5;0;1
biosppnw33.txt;72.89007382421256;0;0;10;2;5.412983052;0;0;7
biosppnw34.txt;49.54458905721143;0;0;14;2;1.325049952;5;0;4
biosppnw35.txt;81.26259704474975;0;0;14;3;1.74901447;3;0;3
biosppnw36.txt;0.0;0;0;10;1;1.873464396;8;0;2
biosppnw37.txt;79.88657635766918;0;0;10;5;0.564520517;5;0;1
biosppnw38.txt;32.09365171052524;0;0;8;3;1.945652063;2;0;7
biosppnw39.txt;59.943302475423586;0;0;12;2;0.752221635;6;0;3
biosppnw40.txt;93.39758228479548;0;0;10;2;0.658814239;3;0;6
biosppnw41.txt;83.75076835446491;0;0;11;5;0.120074142;2;0;1
biosppnw42.txt;93.59522473106209;0;0;10;2;1.225388499;4;0;4
biosppnw43.txt;69.5110459021148;0;0;21;3;1.616042374;3;0;6
