Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached
biosppnw01.txt;69.3558657472398;0;0;421;6;552.216154872;4;2;0
biosppnw03.txt;59.990964648848056;0;0;47;5;466.648905137;6;3;0
biosppnw04.txt;39.60001498201501;0;0;26;3;576.249512922;4;5;0
biosppnw06.txt;87.72626750193734;0;0;20;4;23.967669175;5;0;0
biosppnw07.txt;85.33947350139447;0;0;20;6;8.589171023;7;0;0
biosppnw08.txt;82.74520845614911;0;0;20;5;0.145782726;2;0;0
biosppnw09.txt;84.85208706274359;0;0;22;5;6.037600761;6;0;1
biosppnw10.txt;95.88608561438338;0;0;13;5;0.260795479;4;0;0
biosppnw11.txt;94.94493022636584;0;0;28;6;7.376729422;5;0;0
biosppnw12.txt;61.49022303004493;0;0;43;6;0.187974816;6;0;0
biosppnw13.txt;81.37796088366646;0;0;125;6;30.288852437;8;0;0
biosppnw14.txt;59.9738354848133;0;0;103;5;1227.195462009;4;5;0
biosppnw15.txt;100.0;0;0;2;3;0.274694956;8;0;0
biosppnw16.txt;1.1281603950428456;0;0;7;2;218.156924546;1;0;0
biosppnw17.txt;59.47910158074771;0;0;58;3;686.095172422;1;4;0
biosppnw18.txt;98.72581595376624;0;0;23;6;23.52148144;4;0;0
biosppnw19.txt;89.01026220461007;0;0;20;6;6.883677308;4;0;1
biosppnw20.txt;92.19115686855085;0;0;9;4;1.406117277;4;0;1
biosppnw21.txt;96.61533847809933;0;0;10;6;0.414528615;3;0;0
biosppnw22.txt;71.19592205113338;0;0;19;4;0.804303824;5;0;0
biosppnw23.txt;92.36200797931052;0;0;6;2;0.415939286;9;0;0
biosppnw24.txt;78.57740760856662;0;0;21;5;1.771416651;7;0;0
biosppnw25.txt;80.56415752104309;0;0;17;5;2.237225647;4;0;2
biosppnw26.txt;64.12955370082793;0;0;19;4;1.638625278;5;0;3
biosppnw27.txt;91.34929402062743;0;0;12;4;0.839260618;5;0;0
biosppnw28.txt;92.3996506281944;0;0;6;2;0.876218441;8;0;0
biosppnw29.txt;0.038892434947789205;0;0;12;3;2.831697781;6;0;0
biosppnw30.txt;95.92584095608561;0;0;8;4;2.67157574;4;0;0
biosppnw31.txt;86.89595256407198;0;0;16;5;3.538105706;7;0;0
biosppnw32.txt;96.99405934029014;0;0;8;4;0.149842448;5;0;0
biosppnw33.txt;92.37932690026452;0;0;10;3;7.771244282;7;0;0
biosppnw34.txt;71.14148967221495;0;0;14;4;2.271619743;6;0;2
biosppnw35.txt;93.57354890066928;0;0;14;6;2.436287112;3;0;1
biosppnw36.txt;0.0;0;0;10;1;2.943536672;10;0;0
biosppnw37.txt;79.48552581566017;0;0;10;4;1.126605378;5;0;1
biosppnw38.txt;66.41864644868029;0;0;8;4;2.03747603;8;0;1
biosppnw39.txt;86.90675290214;0;0;12;6;0.73654214;5;0;0
biosppnw40.txt;95.52698237480534;0;0;10;3;0.417380662;8;0;0
biosppnw41.txt;93.12927726145115;0;0;11;6;0.129036265;2;0;0
biosppnw42.txt;93.77763670123473;0;0;10;4;1.476253464;7;0;0
biosppnw43.txt;84.09110197103911;0;0;21;4;3.365206296;8;0;1
