Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached;Avg_Ratio_Non_Bin_Var;Supported_Sol
biosppnw01.txt;72.70282415128423;0;0;421;6;702.666281413;4;1;0;0.0013059163059163058;0.007125890736342043
biosppnw03.txt;72.81519109927872;0;0;47;6;656.858565843;7;1;0;0.0008365905506411574;0.0425531914893617
biosppnw04.txt;18.609753843202864;0;0;26;3;1128.939914728;4;5;0;0.0002667215350967437;0.0
biosppnw06.txt;93.61639719804053;0;0;20;5;25.850797507;4;0;0;0.0035593609552865527;0.25
biosppnw07.txt;92.3459546502851;0;0;20;5;11.03164201;7;0;0;0.003093580819798917;0.2
biosppnw08.txt;93.75584210455084;0;0;20;5;0.178948152;1;0;0;0.019873271889400922;0.25
biosppnw09.txt;82.98036813883498;0;0;22;4;6.501534971;5;0;0;0.005550184409352956;0.18181818181818182
biosppnw10.txt;95.88608561438338;0;0;13;5;0.343812908;3;0;0;0.007502930832356388;0.38461538461538464
biosppnw11.txt;93.5226024952752;0;0;28;5;8.572792599;4;0;0;0.0017120181405895693;0.17857142857142858
biosppnw12.txt;81.81807836223045;0;0;43;5;0.189769507;5;0;0;0.009384984025559104;0.09302325581395349
biosppnw13.txt;85.80555281931068;0;0;125;5;40.426015513;7;0;0;0.0014405729047628942;0.008
biosppnw14.txt;77.21697540496122;0;0;103;7;1391.424724624;8;1;0;0.0002909026083997115;0.009708737864077669
biosppnw15.txt;100.0;0;0;2;3;0.308203901;6;0;0;0.017130620985010704;1.0
biosppnw16.txt;52.749004103080374;0;0;7;3;237.747763606;1;0;0;8.970641333575542e-5;0.42857142857142855
biosppnw17.txt;90.49597765826596;0;0;58;6;1189.930457928;3;0;0;0.00033256422002448803;0.08620689655172414
biosppnw18.txt;98.87763899562982;0;0;23;6;26.623737428;3;0;0;0.004852654085711631;0.2608695652173913
biosppnw19.txt;89.01026220461007;0;0;20;6;7.069321048;5;0;0;0.005094361468102351;0.25
biosppnw20.txt;92.94244864341627;0;0;9;5;1.527814309;4;0;0;0.024655312246553124;0.5555555555555556
biosppnw21.txt;97.11818652908333;0;0;10;7;0.691280355;1;0;0;0.021182360870402463;0.7
biosppnw22.txt;71.36214447591887;0;0;19;4;0.981631861;5;0;0;0.02059773828756058;0.21052631578947367
biosppnw23.txt;91.43357601033692;0;0;6;4;0.605949187;8;0;0;0.014205344585091423;0.3333333333333333
biosppnw24.txt;96.38947513626373;0;0;21;6;2.4642578;5;0;0;0.008459411094843014;0.23809523809523808
biosppnw25.txt;84.37779781335276;0;0;17;5;1.511490807;5;0;0;0.01068200493015612;0.23529411764705882
biosppnw26.txt;70.25563346919503;0;0;19;5;0.756763281;6;0;0;0.016140654272949993;0.15789473684210525
biosppnw27.txt;91.34929402062743;0;0;12;4;1.145782804;4;0;0;0.007872078720787207;0.3333333333333333
biosppnw28.txt;92.40311215502055;0;0;6;3;1.244548828;7;0;0;0.006611570247933884;0.5
biosppnw29.txt;51.828768880775634;0;0;12;3;4.893219809;5;0;0;0.006003937007874016;0.25
biosppnw30.txt;95.92584095608561;0;0;8;4;3.277183964;4;0;0;0.00499434602336977;0.375
biosppnw31.txt;72.35978666734762;0;0;16;6;7.700432768;5;0;0;0.005843559562567827;0.375
biosppnw32.txt;96.99405934029014;0;0;8;4;0.235005036;5;0;0;0.023431594860166285;0.375
biosppnw33.txt;93.62665132774238;0;0;10;5;12.474335149;6;0;0;0.004382152687237433;0.5
biosppnw34.txt;84.58788669362706;0;0;14;4;1.664929094;7;0;0;0.014089729328883947;0.2857142857142857
biosppnw35.txt;92.80612164762472;0;0;14;5;1.994091682;4;0;0;0.006826604251999219;0.35714285714285715
biosppnw36.txt;86.13599217705293;0;0;10;2;7.981834562;8;0;1;0.007683679192372406;0.2
biosppnw37.txt;79.48552581566017;0;0;10;4;1.351128613;5;0;0;0.016396103896103898;0.3
biosppnw38.txt;32.217073743060595;0;0;8;3;5.41890099;8;0;1;0.007950819672131147;0.375
biosppnw39.txt;86.09759839338867;0;0;12;5;0.716271737;4;0;0;0.015099294272115545;0.4166666666666667
biosppnw40.txt;96.84105325196572;0;0;10;4;0.865934097;8;0;0;0.026732673267326736;0.4
biosppnw41.txt;93.12927726145115;0;0;11;6;0.137853861;2;0;0;0.04505076142131979;0.45454545454545453
biosppnw42.txt;93.77763670123473;0;0;10;4;2.118454374;6;0;0;0.010606528678817834;0.3
biosppnw43.txt;92.8278150923978;0;0;21;6;3.79150503;8;0;0;0.012966417910447761;0.23809523809523808
