Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached;Avg_Ratio_Non_Bin_Var;Supported_Sol
biosppnw01.txt;72.4464250723594;0;0;421;7;805.483300425;6;0;0;0.0013059163059163058;0.007125890736342043
biosppnw03.txt;72.57233382751302;0;0;47;7;773.122175317;7;2;0;0.0008365905506411574;0.02127659574468085
biosppnw04.txt;33.45318096980382;0;0;26;3;854.150925503;4;5;0;0.0002667215350967437;0.0
biosppnw06.txt;87.72626750193734;0;0;20;4;31.33795089;5;0;0;0.0035593609552865527;0.2
biosppnw07.txt;85.26933284432681;0;0;20;5;11.737658969;7;0;0;0.003093580819798917;0.15
biosppnw08.txt;93.75584210455084;0;0;20;5;0.144683942;2;0;0;0.019873271889400922;0.25
biosppnw09.txt;85.04994267022539;0;0;22;6;4.973619072;5;0;0;0.005550184409352956;0.18181818181818182
biosppnw10.txt;95.88608561438338;0;0;13;5;0.335511588;4;0;0;0.007502930832356388;0.38461538461538464
biosppnw11.txt;93.67927454167557;0;0;28;5;7.463534537;5;0;0;0.0017120181405895693;0.17857142857142858
biosppnw12.txt;81.81807836223045;0;0;43;5;0.182515643;6;0;0;0.009384984025559104;0.09302325581395349
biosppnw13.txt;85.05585820567411;0;0;125;4;25.644530226;8;0;0;0.0014405729047628942;0.0
biosppnw14.txt;78.82330607010132;0;0;103;7;1554.65941488;6;3;0;0.0002909026083997115;0.009708737864077669
biosppnw15.txt;100.0;0;0;2;3;0.307891839;6;0;0;0.017130620985010704;1.0
biosppnw16.txt;1.1281603950428456;0;0;7;2;223.629636712;1;0;0;8.970641333575542e-5;0.2857142857142857
biosppnw17.txt;86.69157484638124;0;0;58;5;1190.529479286;4;1;0;0.00033256422002448803;0.06896551724137931
biosppnw18.txt;99.33679418139356;0;0;23;7;25.551098083;3;0;0;0.004852654085711631;0.30434782608695654
biosppnw19.txt;89.01026220461007;0;0;20;6;5.023390421;5;0;0;0.005094361468102351;0.25
biosppnw20.txt;92.8869103240998;0;0;9;4;1.236931363;6;0;0;0.024655312246553124;0.3333333333333333
biosppnw21.txt;96.61533847809933;0;0;10;6;0.539069422;3;0;0;0.021182360870402463;0.6
biosppnw22.txt;71.19592205113338;0;0;19;4;0.905426283;5;0;0;0.02059773828756058;0.15789473684210525
biosppnw23.txt;91.43357601033692;0;0;6;3;0.537374234;9;0;0;0.014205344585091423;0.3333333333333333
biosppnw24.txt;85.03138617503603;0;0;21;5;3.18244061;7;0;0;0.008459411094843014;0.09523809523809523
biosppnw25.txt;84.10956817127826;0;0;17;5;1.877252808;6;0;0;0.01068200493015612;0.17647058823529413
biosppnw26.txt;69.66089636387426;0;0;19;4;1.123812338;8;0;0;0.016140654272949993;0.05263157894736842
biosppnw27.txt;91.34929402062743;0;0;12;4;0.853406478;5;0;0;0.007872078720787207;0.3333333333333333
biosppnw28.txt;92.40311215502055;0;0;6;3;1.126411596;7;0;0;0.006611570247933884;0.5
biosppnw29.txt;37.695708479764676;0;0;12;2;2.928738696;6;0;0;0.006003937007874016;0.16666666666666666
biosppnw30.txt;95.92584095608561;0;0;8;4;3.027876361;4;0;0;0.00499434602336977;0.375
biosppnw31.txt;81.29474628191615;0;0;16;5;5.455211869;7;0;0;0.005843559562567827;0.3125
biosppnw32.txt;96.99405934029014;0;0;8;4;0.175138699;5;0;0;0.023431594860166285;0.375
biosppnw33.txt;94.18949098503393;0;0;10;4;11.650212815;7;0;0;0.004382152687237433;0.4
biosppnw34.txt;73.85536988123977;0;0;14;4;1.735582767;8;0;0;0.014089729328883947;0.21428571428571427
biosppnw35.txt;92.80612164762472;0;0;14;5;1.786615314;4;0;0;0.006826604251999219;0.35714285714285715
biosppnw36.txt;86.13599217705293;0;0;10;2;3.998754156;9;0;0;0.007683679192372406;0.2
biosppnw37.txt;79.48552581566017;0;0;10;4;0.781423995;6;0;0;0.016396103896103898;0.3
biosppnw38.txt;66.3362334961277;0;0;8;4;2.780718116;9;0;0;0.007950819672131147;0.375
biosppnw39.txt;86.90675290214;0;0;12;6;0.69676456;5;0;0;0.015099294272115545;0.4166666666666667
biosppnw40.txt;93.41082652642406;0;0;10;3;0.530616111;8;0;0;0.026732673267326736;0.2
biosppnw41.txt;93.12927726145115;0;0;11;6;0.114779391;2;0;0;0.04505076142131979;0.45454545454545453
biosppnw42.txt;93.77763670123473;0;0;10;4;1.535592544;7;0;0;0.010606528678817834;0.3
biosppnw43.txt;87.88562762333558;0;0;21;5;2.91471276;9;0;0;0.012966417910447761;0.14285714285714285
