Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached
biosppnw01.txt;24.409015314280484;0;0;421;3;424.562209999;1;0;5
biosppnw03.txt;51.15688441431403;0;0;47;5;345.889697058;4;0;5
biosppnw04.txt;0.0;0;0;26;0;504.747016318;0;1;8
biosppnw06.txt;87.72626750193734;0;0;20;4;21.743126806;4;0;1
biosppnw07.txt;63.37088673887307;0;0;20;4;10.216377518;2;0;5
biosppnw08.txt;82.74520845614911;0;0;20;5;0.178316878;1;0;1
biosppnw09.txt;83.92300161583945;0;0;22;4;5.364985909;2;0;5
biosppnw10.txt;95.88608561438338;0;0;13;5;0.251163462;4;0;0
biosppnw11.txt;94.94493022636584;0;0;28;6;7.149951956;5;0;0
biosppnw12.txt;61.49022303004493;0;0;43;6;0.333851167;4;0;2
biosppnw13.txt;38.88633943884499;0;0;125;2;31.022989471;2;0;6
biosppnw14.txt;70.83907848207303;0;0;103;6;1064.880517475;6;3;0
biosppnw15.txt;100.0;0;0;2;3;0.366317649;7;0;1
biosppnw16.txt;1.1281603950428456;0;0;7;2;223.550757789;1;0;0
biosppnw17.txt;63.95202023619701;0;0;58;4;579.568722191;2;3;0
biosppnw18.txt;98.72581595376624;0;0;23;6;25.276598465;2;0;2
biosppnw19.txt;87.45509881168387;0;0;20;5;5.391455598;2;0;3
biosppnw20.txt;92.19115686855085;0;0;9;4;1.204163542;4;0;1
biosppnw21.txt;96.61533847809933;0;0;10;6;0.410627812;3;0;0
biosppnw22.txt;70.97630693259853;0;0;19;3;0.853339722;2;0;3
biosppnw23.txt;91.43357601033692;0;0;6;2;0.727861265;6;0;3
biosppnw24.txt;61.13744785725233;0;0;21;2;2.266967058;2;0;5
biosppnw25.txt;78.40731798351136;0;0;17;3;1.828925592;2;0;4
biosppnw26.txt;23.024481691800762;0;0;19;2;1.429948293;1;0;7
biosppnw27.txt;91.34929402062743;0;0;12;4;1.048142695;4;0;1
biosppnw28.txt;92.3996506281944;0;0;6;2;1.638086005;4;0;4
biosppnw29.txt;30.370613400987317;0;0;12;4;2.9741299;5;0;1
biosppnw30.txt;93.4048581554521;0;0;8;3;3.132611411;2;0;2
biosppnw31.txt;73.14839485871846;0;0;16;5;4.349502701;5;0;2
biosppnw32.txt;96.99405934029014;0;0;8;3;0.252704881;3;0;2
biosppnw33.txt;84.0900643275032;0;0;10;3;8.196524621;1;0;6
biosppnw34.txt;58.432562468394934;0;0;14;4;1.775537653;4;0;4
biosppnw35.txt;92.80612164762472;0;0;14;5;1.990450314;2;0;2
biosppnw36.txt;0.0;0;0;10;1;2.783765536;8;0;2
biosppnw37.txt;79.47881971617322;0;0;10;3;1.008670979;3;0;3
biosppnw38.txt;32.09365171052524;0;0;8;2;2.486047043;1;0;8
biosppnw39.txt;84.19612056880722;0;0;12;4;1.13658227;1;0;4
biosppnw40.txt;93.39861761336536;0;0;10;2;0.67353315;3;0;5
biosppnw41.txt;93.12927726145115;0;0;11;6;0.155085836;1;0;1
biosppnw42.txt;93.59595764090773;0;0;10;3;1.980392349;3;0;4
biosppnw43.txt;75.75143936373192;0;0;21;2;2.643730824;3;0;6
