Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached
biosppnw01.txt;73.51095562647838;0;0;421;6;427.238911507;6;1;0
biosppnw03.txt;80.70892393611865;0;0;47;8;294.219978872;9;0;0
biosppnw04.txt;31.47422306566046;0;0;26;3;381.687296355;3;6;0
biosppnw06.txt;73.92256282817075;0;0;20;6;23.791591061;6;0;1
biosppnw07.txt;76.69609675477685;0;0;20;3;7.552585763;7;0;1
biosppnw08.txt;82.11110926160023;0;0;20;5;0.124418798;3;0;0
biosppnw09.txt;79.66405702517379;0;0;22;4;2.835276362;7;0;0
biosppnw10.txt;97.80435610727605;0;0;13;7;0.239291786;4;0;0
biosppnw11.txt;93.67927454167557;0;0;28;5;5.709179994;6;0;0
biosppnw12.txt;61.49022303004493;0;0;43;6;0.192659499;6;0;0
biosppnw13.txt;81.54482465645589;0;0;125;6;29.848209162;7;0;1
biosppnw14.txt;78.37121698452837;0;0;103;5;875.479836231;3;6;0
biosppnw15.txt;100.0;0;0;2;3;0.229370929;8;0;0
biosppnw16.txt;1.1281603950428456;0;0;7;2;164.459915046;2;0;0
biosppnw17.txt;78.32983746229787;0;0;58;5;806.861244503;6;2;0
biosppnw18.txt;98.72576934313803;0;0;23;5;30.379534168;4;0;1
biosppnw19.txt;84.66669715376462;0;0;20;5;2.406994084;7;0;0
biosppnw20.txt;44.38343429949396;0;0;9;4;0.903754565;7;0;0
biosppnw21.txt;92.95361577605004;0;0;10;5;0.306690775;7;0;0
biosppnw22.txt;76.9638098205963;0;0;19;4;0.417784744;6;0;0
biosppnw23.txt;92.36200797931052;0;0;6;3;0.34888912;9;0;0
biosppnw24.txt;86.48568529671098;0;0;21;6;0.938543601;8;0;0
biosppnw25.txt;84.10956817127826;0;0;17;5;0.927035036;7;0;0
biosppnw26.txt;45.92804906692468;0;0;19;3;1.836198571;4;0;4
biosppnw27.txt;91.15524713920544;0;0;12;3;0.782964787;6;0;0
biosppnw28.txt;92.3996506281944;0;0;6;2;1.14691477;7;0;1
biosppnw29.txt;77.15537096247164;0;0;12;4;2.122020226;6;0;0
biosppnw30.txt;93.64826741523095;0;0;8;4;1.874064541;4;0;0
biosppnw31.txt;88.5376763254135;0;0;16;6;2.705025994;7;0;0
biosppnw32.txt;96.99405934029014;0;0;8;3;0.129881476;6;0;0
biosppnw33.txt;94.18949098503393;0;0;10;4;3.926898941;7;0;0
biosppnw34.txt;57.27700727454603;0;0;14;5;1.634931875;7;0;2
biosppnw35.txt;82.0721027719364;0;0;14;4;1.87104112;6;0;0
biosppnw36.txt;0.0;0;0;10;1;1.697261963;10;0;0
biosppnw37.txt;88.1017287779965;0;0;10;5;0.517169421;6;0;0
biosppnw38.txt;32.09365171052524;0;0;8;4;3.145035676;7;0;2
biosppnw39.txt;70.33735965564165;0;0;12;4;0.492489103;9;0;0
biosppnw40.txt;93.68532398656399;0;0;10;3;0.343853736;9;0;0
biosppnw41.txt;83.75076835446491;0;0;11;5;0.086856602;3;0;0
biosppnw42.txt;93.59522473106209;0;0;10;2;1.081159142;8;0;0
biosppnw43.txt;86.77615018329692;0;0;21;5;3.421219705;6;0;3
