Instance;Avg_Ratio_Non_Bin_Var;RatioFeasibleGenerators
01;0.05483405483405483;0.125
03;0.003428649797709662;0.0
04;0.0036832973894312237;0.0
06;0.008201292523701735;0.0
07;0.019334880123743233;0.1111111111111111
08;1.4112903225806452;0.25
09;0.2327496687793175;0.1111111111111111
10;1.0785463071512311;0.2
11;0.10884353741496601;0.0
12;1.6373801916932904;0.125
13;0.0664879802198259;0.0
14;0.0093996386001021;0.1
15;0.7922912205567453;0.1
16;0.07961444183548291;0.3333333333333333
17;0.002060961363532038;0.0
18;0.20544761550618196;0.0
19;0.03859364748562387;0.1111111111111111
20;0.016220600162206;0.0
21;0.19256691700365877;0.0
22;0.14135702746365103;0.0
23;0.520393811533052;0.0
24;0.12201073694485115;0.0
25;0.00912991874372318;0.0
26;0.1152903876639285;0.0
27;0.09840098400984008;0.0
28;0.04591368227731864;0.0
29;0.004921259842519685;0.0
30;0.02355823595929137;0.0
31;0.016695884464479505;0.0
32;1.1337868480725621;0.1111111111111111
33;0.007243227582210633;0.0
34;0.024718823384006924;0.0
35;0.11052597360379693;0.0
36;0.011217049915872124;0.0
37;0.06493506493506493;0.0
38;0.16393442622950818;0.0
39;0.11488593467914002;0.0
40;0.04950495049504951;0.0
41;0.5076142131979696;0.0
42;0.061785603954278664;0.0
43;0.12126865671641789;0.0
