Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached;Avg_Ratio_Non_Bin_Var;Supported_Sol
biosppnw01.txt;72.70282415128423;0;0;421;6;731.618492855;4;1;0;0.0013059163059163058;0.007125890736342043
biosppnw03.txt;72.81519109927872;0;0;47;6;685.756227102;7;1;0;0.0008365905506411574;0.0425531914893617
biosppnw04.txt;18.609753843202864;0;0;26;3;1174.653774779;4;5;0;0.0002667215350967437;0.0
biosppnw06.txt;93.61639719804053;0;0;20;5;25.978798227;4;0;0;0.0035593609552865527;0.25
biosppnw07.txt;92.3459546502851;0;0;20;5;11.215439347;7;0;0;0.003093580819798917;0.2
biosppnw08.txt;93.75584210455084;0;0;20;5;0.179263732;1;0;0;0.019873271889400922;0.25
biosppnw09.txt;82.98036813883498;0;0;22;4;6.657998249;5;0;0;0.005550184409352956;0.18181818181818182
biosppnw10.txt;95.88608561438338;0;0;13;5;0.344158963;3;0;0;0.007502930832356388;0.38461538461538464
biosppnw11.txt;93.5226024952752;0;0;28;5;8.674856869;4;0;0;0.0017120181405895693;0.17857142857142858
biosppnw12.txt;81.81807836223045;0;0;43;5;0.172069484;5;0;0;0.009384984025559104;0.09302325581395349
biosppnw13.txt;85.80555281931068;0;0;125;5;40.943038181;7;0;0;0.0014405729047628942;0.008
biosppnw14.txt;77.21697540496122;0;0;103;7;1424.058576071;8;1;0;0.0002909026083997115;0.009708737864077669
biosppnw15.txt;100.0;0;0;2;3;0.312098076;6;0;0;0.017130620985010704;1.0
biosppnw16.txt;52.749004103080374;0;0;7;3;244.220590711;1;0;0;8.970641333575542e-5;0.42857142857142855
biosppnw17.txt;90.49597765826596;0;0;58;6;1209.889581504;3;0;0;0.00033256422002448803;0.08620689655172414
biosppnw18.txt;98.87763899562982;0;0;23;6;27.359145799;3;0;0;0.004852654085711631;0.2608695652173913
biosppnw19.txt;89.01026220461007;0;0;20;6;7.317525771;5;0;0;0.005094361468102351;0.25
biosppnw20.txt;92.94244864341627;0;0;9;5;1.370435996;4;0;0;0.024655312246553124;0.5555555555555556
biosppnw21.txt;97.11818652908333;0;0;10;7;0.70664263;1;0;0;0.021182360870402463;0.7
biosppnw22.txt;71.36214447591887;0;0;19;4;1.044692933;5;0;0;0.02059773828756058;0.21052631578947367
biosppnw23.txt;91.43357601033692;0;0;6;4;0.6274964;8;0;0;0.014205344585091423;0.3333333333333333
biosppnw24.txt;96.38947513626373;0;0;21;6;2.528106832;5;0;0;0.008459411094843014;0.23809523809523808
biosppnw25.txt;84.37779781335276;0;0;17;5;1.500522255;5;0;0;0.01068200493015612;0.23529411764705882
biosppnw26.txt;70.25563346919503;0;0;19;5;0.763377986;6;0;0;0.016140654272949993;0.15789473684210525
biosppnw27.txt;91.34929402062743;0;0;12;4;1.16732903;4;0;0;0.007872078720787207;0.3333333333333333
biosppnw28.txt;92.40311215502055;0;0;6;3;1.261509754;7;0;0;0.006611570247933884;0.5
biosppnw29.txt;51.828768880775634;0;0;12;3;4.990200183;5;0;0;0.006003937007874016;0.25
biosppnw30.txt;95.92584095608561;0;0;8;4;3.33579526;4;0;0;0.00499434602336977;0.375
biosppnw31.txt;72.35978666734762;0;0;16;6;7.875410499;5;0;0;0.005843559562567827;0.375
biosppnw32.txt;96.99405934029014;0;0;8;4;0.224761971;5;0;0;0.023431594860166285;0.375
biosppnw33.txt;93.62665132774238;0;0;10;5;12.663999401;6;0;0;0.004382152687237433;0.5
biosppnw34.txt;84.58788669362706;0;0;14;4;1.701690058;7;0;0;0.014089729328883947;0.2857142857142857
biosppnw35.txt;92.80612164762472;0;0;14;5;1.987194568;4;0;0;0.006826604251999219;0.35714285714285715
biosppnw36.txt;86.13599217705293;1;1;10;2;5.107469616;9;0;0;0.007683679192372406;0.2
biosppnw37.txt;79.48552581566017;0;0;10;4;1.408716991;5;0;0;0.016396103896103898;0.3
biosppnw38.txt;32.217073743060595;1;1;8;3;4.44927461;9;0;0;0.007950819672131147;0.375
biosppnw39.txt;86.09759839338867;0;0;12;5;0.762222568;4;0;0;0.015099294272115545;0.4166666666666667
biosppnw40.txt;96.84105325196572;0;0;10;4;0.904703995;8;0;0;0.026732673267326736;0.4
biosppnw41.txt;93.12927726145115;0;0;11;6;0.123563131;2;0;0;0.04505076142131979;0.45454545454545453
biosppnw42.txt;93.77763670123473;0;0;10;4;2.167066136;6;0;0;0.010606528678817834;0.3
biosppnw43.txt;92.8278150923978;0;0;21;6;3.817038166;8;0;0;0.012966417910447761;0.23809523809523808
