Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached;Avg_Ratio_Non_Bin_Var;Supported_Sol
biosppnw01.txt;42.20368904193662;10;4;421;4;102.116533604;4;0;3;0.0013059163059163058;0.004750593824228029
biosppnw03.txt;70.10215144972895;13;10;47;4;36.216802733;8;0;2;0.0008365905506411574;0.02127659574468085
biosppnw04.txt;8.356159485161633;44;11;26;2;104.778210118;4;0;5;0.0002667215350967437;0.0
biosppnw06.txt;72.50495759254534;34;16;20;5;5.362639975;7;0;2;0.0035593609552865527;0.05
biosppnw07.txt;88.14603091626306;19;12;20;4;2.703209598;8;0;0;0.003093580819798917;0.2
biosppnw08.txt;81.76163434147009;0;0;20;4;0.078612019;3;0;0;0.019873271889400922;0.2
biosppnw09.txt;82.49780401683103;6;4;22;4;1.070305269;8;0;0;0.005550184409352956;0.09090909090909091
biosppnw10.txt;99.22427263684244;3;3;13;7;0.214071726;6;0;0;0.007502930832356388;0.5384615384615384
biosppnw11.txt;97.54211063036233;1;1;28;6;2.102344531;7;0;0;0.0017120181405895693;0.17857142857142858
biosppnw12.txt;87.09845281172358;17;14;43;8;0.230273282;6;0;0;0.009384984025559104;0.13953488372093023
biosppnw13.txt;32.95119911261608;93;19;125;4;15.827228613;4;0;5;0.0014405729047628942;0.0
biosppnw14.txt;72.70002767105511;10;5;103;8;91.841806364;9;0;0;0.0002909026083997115;0.009708737864077669
biosppnw15.txt;100.0;0;0;2;3;0.146685273;8;0;0;0.017130620985010704;1.0
biosppnw16.txt;1.1281603950428456;0;0;7;2;44.063973426;3;0;0;8.970641333575542e-5;0.2857142857142857
biosppnw17.txt;76.89138697001044;12;6;58;5;115.540581333;7;2;0;0.00033256422002448803;0.034482758620689655
biosppnw18.txt;58.92997982751229;74;19;23;2;13.017380907;6;0;4;0.004852654085711631;0.0
biosppnw19.txt;92.53381653968343;11;5;20;6;1.303115042;8;0;0;0.005094361468102351;0.2
biosppnw20.txt;79.3743374913463;11;5;9;4;0.307310663;9;0;0;0.024655312246553124;0.1111111111111111
biosppnw21.txt;93.88104597904345;0;0;10;5;0.169294322;8;0;0;0.021182360870402463;0.2
biosppnw22.txt;75.07499117280199;23;18;19;4;0.28856163;7;0;1;0.02059773828756058;0.10526315789473684
biosppnw23.txt;91.43357601033692;16;13;6;4;0.27409696;9;0;0;0.014205344585091423;0.3333333333333333
biosppnw24.txt;85.38571624554159;56;13;21;5;1.37048232;6;0;3;0.008459411094843014;0.14285714285714285
biosppnw25.txt;73.25967016202128;17;7;17;5;0.764493188;9;0;0;0.01068200493015612;0.0
biosppnw26.txt;66.49970965332517;37;15;19;3;0.615805027;7;0;2;0.016140654272949993;0.0
biosppnw27.txt;94.9168842903306;28;19;12;3;0.654683694;7;0;1;0.007872078720787207;0.16666666666666666
biosppnw28.txt;95.42330885507043;22;6;6;3;0.606694587;8;0;0;0.006611570247933884;0.5
biosppnw29.txt;73.30008730625438;11;5;12;4;0.986978045;8;0;0;0.006003937007874016;0.3333333333333333
biosppnw30.txt;82.11284209216669;12;8;8;4;1.268542373;8;0;0;0.00499434602336977;0.25
biosppnw31.txt;76.62921730875566;7;3;16;3;1.337580845;8;0;0;0.005843559562567827;0.125
biosppnw32.txt;98.51337001565958;20;14;8;4;0.140364504;5;0;1;0.023431594860166285;0.5
biosppnw33.txt;60.91933677400942;25;10;10;5;2.306951208;7;0;2;0.004382152687237433;0.1
biosppnw34.txt;75.38471430386257;8;4;14;4;0.374689154;9;0;0;0.014089729328883947;0.07142857142857142
biosppnw35.txt;83.10741593677704;24;18;14;4;0.723342925;6;0;1;0.006826604251999219;0.14285714285714285
biosppnw36.txt;86.12964679704804;56;16;10;2;1.858880755;6;0;4;0.007683679192372406;0.1
biosppnw37.txt;88.1017287779965;24;13;10;4;0.353780545;7;0;0;0.016396103896103898;0.4
biosppnw38.txt;0.0;90;18;8;3;1.879987645;3;0;7;0.007950819672131147;0.0
biosppnw39.txt;68.25526261620332;8;2;12;8;0.261699515;9;0;0;0.015099294272115545;0.08333333333333333
biosppnw40.txt;76.08172788161872;3;3;10;3;0.14342911;10;0;0;0.026732673267326736;0.0
biosppnw41.txt;83.74833372317015;2;1;11;3;0.05365272;6;0;0;0.04505076142131979;0.2727272727272727
biosppnw42.txt;97.68693652716863;41;18;10;2;0.806845469;7;0;2;0.010606528678817834;0.2
biosppnw43.txt;66.91726434394384;72;18;21;3;1.005674328;5;0;5;0.012966417910447761;0.047619047619047616
