Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached
biosppnw01.txt;71.28623546634014;0;0;421;6;606.926482408;4;0;0
biosppnw03.txt;82.53519549402458;0;0;47;6;674.095403527;3;2;0
biosppnw04.txt;18.609753843202864;0;0;26;2;1260.803160277;4;5;0
biosppnw06.txt;95.74072544401997;0;0;20;6;32.214169602;3;0;0
biosppnw07.txt;81.27801050966788;0;0;20;5;12.315123752;6;0;0
biosppnw08.txt;94.31689899287737;0;0;20;6;0.12491957;1;0;0
biosppnw09.txt;82.98036813883498;0;0;22;4;5.508004105;5;0;0
biosppnw10.txt;95.88608561438338;0;0;13;5;0.261510449;4;0;0
biosppnw11.txt;94.67732085850702;0;0;28;5;10.121094353;4;0;0
biosppnw12.txt;73.43906521073093;0;0;43;7;0.164461178;6;0;0
biosppnw13.txt;82.82698356311316;0;0;125;6;51.417159259;7;0;0
biosppnw14.txt;69.07449380491357;0;0;103;7;1391.072551177;5;2;0
biosppnw15.txt;100.0;0;0;2;3;0.289415317;8;0;0
biosppnw16.txt;52.749004103080374;0;0;7;3;214.334434023;0;0;0
biosppnw17.txt;90.49597765826596;0;0;58;6;1177.557772909;2;0;0
biosppnw18.txt;99.33679418139356;0;0;23;7;22.96065999;2;0;0
biosppnw19.txt;87.45509881168387;0;0;20;5;8.820582677;5;0;0
biosppnw20.txt;99.7397650118573;0;0;9;7;1.365034879;3;0;0
biosppnw21.txt;97.11818652908333;0;0;10;7;0.963688177;1;0;0
biosppnw22.txt;70.97630693259853;0;0;19;3;1.141983021;4;0;0
biosppnw23.txt;91.43357601033692;0;0;6;2;0.578242319;8;0;0
biosppnw24.txt;95.93069725801664;0;0;21;5;2.599307904;5;0;0
biosppnw25.txt;81.64377213352192;0;0;17;4;1.821793619;5;0;0
biosppnw26.txt;70.25306556242643;0;0;19;5;0.612235833;6;0;0
biosppnw27.txt;91.34929402062743;0;0;12;4;1.512868924;4;0;0
biosppnw28.txt;76.29546429449623;0;0;6;3;1.752083131;7;0;0
biosppnw29.txt;88.50595584701766;0;0;12;4;4.429497806;4;0;0
biosppnw30.txt;95.92584095608561;0;0;8;4;3.057813221;4;0;0
biosppnw31.txt;72.35978666734762;0;0;16;6;8.135964952;5;0;0
biosppnw32.txt;96.99405934029014;0;0;8;4;0.333622045;4;0;0
biosppnw33.txt;94.31019856767186;0;0;10;6;12.847974898;5;0;0
biosppnw34.txt;58.814878331857244;0;0;14;7;1.836623247;5;0;0
biosppnw35.txt;92.80612164762472;0;0;14;5;1.993439884;4;0;0
biosppnw36.txt;87.93901895568966;0;0;10;3;6.787965283;8;0;0
biosppnw37.txt;88.1017287779965;0;0;10;5;1.460416709;3;0;0
biosppnw38.txt;32.09365171052524;0;0;8;3;3.789645368;9;0;0
biosppnw39.txt;86.09759839338867;0;0;12;5;1.021321315;4;0;0
biosppnw40.txt;96.21722000421511;0;0;10;4;0.557142335;6;0;0
biosppnw41.txt;95.98150579068681;0;0;11;8;0.175992667;0;0;0
biosppnw42.txt;93.77763670123473;0;0;10;4;2.536149656;6;0;0
biosppnw43.txt;91.74273911539474;0;0;21;5;3.051091867;7;0;0
