Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached
biosppnw01.txt;72.4464250723594;0;0;421;7;741.0144477;6;0;0
biosppnw03.txt;72.57233382751302;0;0;47;7;701.478423193;7;2;0
biosppnw04.txt;33.45318096980382;0;0;26;3;1074.579638102;4;5;0
biosppnw06.txt;87.72626750193734;0;0;20;4;36.660344307;5;0;0
biosppnw07.txt;85.26933284432681;0;0;20;5;17.146107343;7;0;0
biosppnw08.txt;82.74520845614911;0;0;20;5;0.179798168;2;0;0
biosppnw09.txt;85.04990269374235;0;0;22;5;7.516352598;7;0;0
biosppnw10.txt;95.88608561438338;0;0;13;5;0.454664504;4;0;0
biosppnw11.txt;94.94493022636584;0;0;28;6;11.570834777;5;0;0
biosppnw12.txt;73.43906521073093;0;0;43;7;0.220969958;6;0;0
biosppnw13.txt;85.05585820567411;0;0;125;4;36.553304911;8;0;0
biosppnw14.txt;78.82330607010132;0;0;103;7;2050.58031593;6;3;0
biosppnw15.txt;100.0;0;0;2;3;0.585822135;8;0;0
biosppnw16.txt;1.1281603950428456;0;0;7;2;380.80302837;1;0;0
biosppnw17.txt;86.69157484638124;0;0;58;5;1722.464224792;4;1;0
biosppnw18.txt;98.72581595376624;0;0;23;6;42.837441389;4;0;0
biosppnw19.txt;89.01026220461007;0;0;20;6;7.711400722;5;0;0
biosppnw20.txt;92.19115686855085;0;0;9;4;2.326029135;5;0;0
biosppnw21.txt;96.61533847809933;0;0;10;6;0.674894522;3;0;0
biosppnw22.txt;71.19592205113338;0;0;19;4;1.500903883;5;0;0
biosppnw23.txt;91.43357601033692;0;0;6;2;0.787889337;9;0;0
biosppnw24.txt;78.27541879901918;0;0;21;5;3.688626749;7;0;0
biosppnw25.txt;84.10956817127826;0;0;17;5;2.728668361;6;0;0
biosppnw26.txt;57.59337317291303;0;0;19;4;2.243158403;8;0;0
biosppnw27.txt;91.34929402062743;0;0;12;4;1.274446041;5;0;0
biosppnw28.txt;92.3996506281944;0;0;6;2;1.378812592;8;0;0
biosppnw29.txt;36.09058688705385;0;0;12;2;5.555771297;6;0;0
biosppnw30.txt;95.92584095608561;0;0;8;4;5.204483678;4;0;0
biosppnw31.txt;86.89595256407198;0;0;16;5;7.511750561;7;0;0
biosppnw32.txt;96.99405934029014;0;0;8;4;0.246189525;5;0;0
biosppnw33.txt;92.37932690026452;0;0;10;3;19.251201843;7;0;0
biosppnw34.txt;77.5456213883126;0;0;14;5;2.380519441;8;0;0
biosppnw35.txt;92.80612164762472;0;0;14;5;3.368580989;4;0;0
biosppnw36.txt;0.0;0;0;10;1;5.727819096;10;0;0
biosppnw37.txt;79.48552581566017;0;0;10;4;1.28063055;6;0;0
biosppnw38.txt;66.3362334961277;0;0;8;6;3.721995576;9;0;0
biosppnw39.txt;86.72540284706962;0;0;12;5;1.10875599;5;0;0
biosppnw40.txt;95.52698237480534;0;0;10;3;0.730864091;8;0;0
biosppnw41.txt;93.12927726145115;0;0;11;6;0.209700459;2;0;0
biosppnw42.txt;93.77763670123473;0;0;10;4;2.548065541;7;0;0
biosppnw43.txt;79.57815306627101;0;0;21;4;5.725878657;9;0;0
