Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached
biosppnw01.txt;82.24405477075183;0;0;421;8;515.515965591;7;0;0
biosppnw03.txt;80.55158537771511;0;0;47;5;355.584985662;7;2;0
biosppnw04.txt;35.48676186410936;0;0;26;4;851.139601851;5;4;0
biosppnw06.txt;82.28102617115721;0;0;20;7;29.035261586;7;0;0
biosppnw07.txt;85.05564843618177;0;0;20;7;9.06182807;8;0;0
biosppnw08.txt;82.64021867393421;0;0;20;5;0.126921932;4;0;0
biosppnw09.txt;88.99967316226883;0;0;22;5;5.101244986;8;0;0
biosppnw10.txt;97.80435610727605;0;0;13;7;0.345862773;6;0;0
biosppnw11.txt;98.42120650096832;0;0;28;6;8.158589316;7;0;0
biosppnw12.txt;86.2869828793362;0;0;43;7;0.214764466;6;0;0
biosppnw13.txt;78.98558565934638;0;0;125;8;42.289947777;8;0;0
biosppnw14.txt;83.80009543616461;0;0;103;7;1224.637537613;7;2;0
biosppnw15.txt;100.0;0;0;2;3;0.265108387;8;0;0
biosppnw16.txt;1.1281603950428456;0;0;7;2;170.716178632;3;0;0
biosppnw17.txt;81.85333997387242;0;0;58;5;1881.454952348;7;1;0
biosppnw18.txt;75.14872558414231;0;0;23;5;47.232408772;7;0;0
biosppnw19.txt;92.27451276922058;0;0;20;7;3.581480351;5;0;0
biosppnw20.txt;77.03641684086129;0;0;9;6;0.924239811;7;0;0
biosppnw21.txt;92.95361577605004;0;0;10;5;0.340956481;6;0;0
biosppnw22.txt;76.9638098205963;0;0;19;4;0.765295314;5;0;0
biosppnw23.txt;91.43357601033692;0;0;6;3;0.519226122;9;0;0
biosppnw24.txt;83.97789810188225;0;0;21;5;2.056122769;8;0;0
biosppnw25.txt;93.0765003370112;0;0;17;5;1.424644016;7;0;0
biosppnw26.txt;65.3528945876746;0;0;19;6;0.924182139;8;0;0
biosppnw27.txt;96.03984520147326;0;0;12;4;0.874752885;6;0;0
biosppnw28.txt;92.40311215502055;0;0;6;3;0.899926332;9;0;0
biosppnw29.txt;77.15537096247164;0;0;12;5;3.237347405;7;0;0
biosppnw30.txt;93.64826741523095;0;0;8;4;3.259296063;5;0;0
biosppnw31.txt;88.5376763254135;0;0;16;6;4.209691488;7;0;0
biosppnw32.txt;98.51388074265815;0;0;8;5;0.154572371;6;0;0
biosppnw33.txt;88.80541884394673;0;0;10;5;7.578408407;8;0;0
biosppnw34.txt;76.24739298715335;0;0;14;2;1.680785806;7;0;1
biosppnw35.txt;85.85571442686694;0;0;14;5;1.356930626;6;0;0
biosppnw36.txt;86.13599217705293;0;0;10;2;3.470493718;10;0;0
biosppnw37.txt;79.48552581566017;0;0;10;4;0.487290303;6;0;0
biosppnw38.txt;97.04260873019652;0;0;8;5;1.812607532;9;0;0
biosppnw39.txt;74.2933405352517;0;0;12;5;0.746900058;9;0;0
biosppnw40.txt;93.68532398656399;0;0;10;3;0.408897203;9;0;0
biosppnw41.txt;91.5397335405542;0;0;11;6;0.120980238;3;0;0
biosppnw42.txt;94.37600081549124;0;0;10;4;1.807435754;8;0;0
biosppnw43.txt;90.88604177816809;0;0;21;4;2.016111949;9;0;0
